,tick,tick_idx,x,y,z,ang_j1,ang_j2,ang_j3
0,1631767769,0,339.0605774,-90.85100555,-51.2057724,-15,80,32
1,1631767769,1,339.0299072,-90.86601257,-51.2173996,-15.01098251,79.97315216,32.04800034
2,1631767769,2,338.4140625,-91.16460419,-51.44894409,-15.10250092,79.74943542,32.44800186
3,1631767769,3,337.9486694,-91.38671112,-51.62123108,-15.16473389,79.59731293,32.72000122
4,1631767769,4,337.3549194,-91.66578674,-51.8377037,-15.24160957,79.40939331,33.05599976
5,1631767769,5,335.7695618,-92.38787079,-52.3980217,-15.439291,78.92616272,33.92000198
6,1631767769,6,334.2169189,-93.06417847,-52.92301941,-15.62598896,78.46979523,34.73600006
7,1631767769,7,332.9997253,-93.57404327,-53.31888199,-15.76875877,78.12080383,35.36000061
8,1631767769,8,330.1028442,-94.72011566,-54.20875931,-16.09822655,77.31542969,36.79999924
9,1631767769,9,328.4105835,-95.34835815,-54.69647598,-16.28492546,76.85905457,37.61600113
10,1631767769,10,326.5465698,-96.00735474,-55.20791245,-16.48626709,76.36688995,38.4960022
11,1631767769,11,324.503418,-96.69197083,-55.73895264,-16.70225143,75.83892822,39.44000244
12,1631767769,12,319.8483276,-98.115242,-56.84109879,-17.17815018,74.6756134,41.52000046
13,1631767770,13,314.3798828,-99.56721497,-57.96098328,-17.71261978,73.369133,43.84799957
14,1631767770,14,308.2516479,-101.0613861,-58.85195923,-18.30566216,71.91947174,46.24799347
15,1631767770,15,305.0115662,-101.8369064,-59.10066223,-18.62414932,71.14094543,47.44799042
16,1631767770,16,301.6511536,-102.6251297,-59.22414398,-18.9572773,70.32662964,48.64798737
17,1631767770,17,298.1683044,-103.4210281,-59.21493912,-19.3050499,69.47652435,49.84798431
18,1631767770,18,290.881012,-104.9573135,-58.87378311,-20.01340675,67.74497986,52.24797821
19,1631767770,19,287.197052,-105.5678558,-58.76018524,-20.34775543,66.92768097,53.44797516
20,1631767770,20,283.5145874,-106.0550079,-58.67277145,-20.6674614,66.1461792,54.64797211
21,1631767770,21,276.1755371,-106.6756287,-58.63542557,-21.26294518,64.69055176,57.047966
22,1631767770,22,272.5288086,-106.8174896,-58.6875,-21.53872299,64.01642609,58.24263
23,1631767770,23,265.5437012,-106.8821335,-58.7588768,-22.04634857,62.7755661,60.46129608
24,1631767770,24,260.7348328,-106.819252,-58.68914032,-22.38862991,61.93887711,61.95729446
25,1631767770,25,256.3192444,-106.6875916,-58.57543945,-22.69796371,61.18272781,63.30929565
26,1631767770,26,253.6033173,-106.5724869,-58.47495651,-22.88588142,60.7233696,64.13063049
27,1631767770,27,251.0751801,-106.4424591,-58.36084366,-23.05915833,60.2998085,64.88796234
28,1631767770,28,247.6440125,-106.2313995,-58.17459869,-23.29161644,59.73157501,65.90396881
29,1631767770,29,245.602417,-106.087204,-58.04685211,-23.42828369,59.39749908,66.501297
30,1631767770,30,243.7609863,-105.9454041,-57.92088318,-23.55031013,59.09921265,67.03462982
31,1631767771,31,240.6884308,-105.6843567,-57.68820953,-23.75043106,58.61002731,67.90930176
32,1631767771,32,238.9258118,-105.5209732,-57.54211426,-23.86208534,58.33709717,68.39730072
33,1631767771,33,237.6330414,-105.3948898,-57.42917252,-23.94079208,58.14470291,68.74130249
34,1631767771,34,236.6461029,-105.2950745,-57.33966064,-23.99448204,58.01345825,68.97596741
35,1631767771,35,236.469696,-105.2769241,-57.32335281,-23.99936295,58.00152588,68.99730682
36,1631767771,36,236.451889,-105.275177,-57.32172394,-24,58,69
37,1631767771,37,236.5028992,-105.0605621,-57.32607651,-23.90399933,57.99165344,69.02921295
38,1631767771,38,236.7049255,-104.201973,-57.34352493,-23.66399956,57.97078705,69.10224915
39,1631767771,39,236.9202271,-103.2716217,-57.36231232,-23.42399979,57.94992065,69.17527771
40,1631767771,40,237.355545,-101.3386688,-57.40082169,-22.94400024,57.90818787,69.3213501
41,1631767771,41,237.7138214,-99.69145203,-57.43305969,-22.54400063,57.87340927,69.44306946
42,1631767771,42,238.1196136,-97.75708771,-57.47024536,-22.07999992,57.83306885,69.58427429
43,1631767771,43,239.0444946,-93.02657318,-57.56626129,-20.95999908,57.73568726,69.92510223
44,1631767771,44,239.8028564,-88.72480011,-57.65612411,-19.95199966,57.64804459,70.23184967
45,1631767771,45,240.3202515,-85.49858093,-57.7190094,-19.19999886,57.58266068,70.46068573
46,1631767771,46,241.0849457,-80.12351227,-57.80547714,-17.95199966,57.47415161,70.84046936
47,1631767771,47,242.0146332,-71.96376038,-57.85058212,-16.06399918,57.30999756,71.41500854
48,1631767771,48,242.4086304,-67.46283722,-57.91334152,-15.02399921,57.21957397,71.73149109
49,1631767772,49,242.7346649,-62.68505859,-57.97597504,-13.91999912,57.12358475,72.06745148
50,1631767772,50,242.976059,-57.63415527,-58.04898453,-12.7519989,57.02203369,72.42288971
51,1631767772,51,243.1338196,-47.21344376,-58.21763229,-10.43199825,56.81985474,73.13051605
52,1631767772,52,243.0548248,-42.37905502,-58.21419525,-9.36533165,56.72711182,73.45511627
53,1631767772,53,242.7832489,-35.68947601,-58.27086639,-7.885331631,56.59843063,73.90549469
54,1631767772,54,242.2193451,-27.80868721,-58.29962158,-6.135998249,56.44633102,74.43783569
55,1631767772,55,241.8833923,-24.30804253,-58.25290298,-5.357331753,56.37863159,74.67478943
56,1631767772,56,241.3475952,-19.59925842,-58.26318359,-4.309331417,56.28751373,74.99371338
57,1631767772,57,240.8068085,-15.53287888,-58.36478806,-3.405331373,56.20891571,75.26880646
58,1631767772,58,240.4596252,-13.17435169,-58.35331345,-2.88266468,56.16347122,75.42786407
59,1631767772,59,239.979599,-10.1588192,-58.37892914,-2.218664885,56.10573959,75.62992096
60,1631767772,60,239.6969604,-8.493262291,-58.39793396,-1.855998039,56.07420731,75.74028778
